data,qtd_incidentes,prioridade_media,pct_criticos,completude_media,tam_desc_medio,tem_AM,tem_disk,tem_ICMP,lag_1,lag_2,lag_7,lag_14,lag_30,media_7d,media_14d,media_30d,std_7d,dia_semana,mes,dia_mes,fim_de_semana,media_3d,trend_7_30,variacao_1d,variacao_7d,target_d1,target_d7
2025-03-22,83,1.9156626506024097,0.1686746987951807,1.0,46.6144578313253,0.0,0.1566265060240964,0.03614457831325301,157.0,143.0,48.0,130.0,181.0,153.28571428571428,136.78571428571428,123.83333333333333,73.2978269021083,5,3,22,1,127.66666666666667,29.45238095238095,14.0,109.0,56.0,63.0
2025-03-23,56,1.6607142857142858,0.14285714285714285,1.0,51.357142857142854,0.017857142857142856,0.23214285714285715,0.017857142857142856,83.0,157.0,68.0,42.0,168.0,151.57142857142858,137.78571428571428,120.1,75.72506661790213,6,3,23,1,98.66666666666667,31.47142857142859,-74.0,15.0,134.0,56.0
2025-03-24,134,1.7462686567164178,0.13432835820895522,0.9776119402985075,45.54477611940298,0.029850746268656716,0.14925373134328357,0.007462686567164179,56.0,83.0,230.0,110.0,71.0,137.85714285714286,139.5,122.2,67.38800232343186,0,3,24,0,91.0,15.657142857142858,-27.0,-174.0,162.0,110.0
2025-03-25,162,1.8641975308641976,0.1111111111111111,0.9984567901234568,48.876543209876544,0.006172839506172839,0.15432098765432098,0.0,134.0,56.0,124.0,172.0,108.0,143.28571428571428,138.78571428571428,124.0,67.61586176264237,1,3,25,0,117.33333333333333,19.285714285714278,78.0,10.0,150.0,127.0
2025-03-26,150,1.9066666666666667,0.2,0.9916666666666667,47.24666666666667,0.006666666666666667,0.14,0.04,162.0,134.0,268.0,158.0,116.0,126.42857142857143,138.21428571428572,125.13333333333334,40.68929893250865,2,3,26,0,148.66666666666666,1.2952380952380906,28.0,-106.0,117.0,152.0
2025-03-27,117,2.0085470085470085,0.18803418803418803,0.9807692307692307,43.60683760683761,0.0,0.09401709401709402,0.02564102564102564,150.0,162.0,143.0,157.0,125.0,122.71428571428571,135.35714285714286,124.86666666666666,40.10699974532414,3,3,27,0,143.0,-2.152380952380952,-12.0,7.0,130.0,178.0
2025-03-28,130,1.8923076923076922,0.17692307692307693,0.9865384615384616,50.784615384615385,0.023076923076923078,0.14615384615384616,0.06153846153846154,117.0,150.0,157.0,155.0,230.0,118.85714285714286,133.57142857142858,121.53333333333333,37.47189422944695,4,3,28,0,132.33333333333334,-2.6761904761904702,-33.0,-40.0,63.0,180.0
2025-03-29,63,1.6825396825396826,0.1111111111111111,0.9880952380952381,49.111111111111114,0.0,0.3333333333333333,0.015873015873015872,130.0,117.0,83.0,48.0,155.0,116.0,134.64285714285714,118.46666666666667,41.23509831846331,5,3,29,1,103.33333333333333,-2.4666666666666686,13.0,47.0,56.0,105.0
2025-03-30,56,1.8392857142857142,0.23214285714285715,1.0,47.035714285714285,0.0,0.2857142857142857,0.10714285714285714,63.0,130.0,56.0,68.0,132.0,116.0,133.78571428571428,115.93333333333334,41.23509831846331,6,3,30,1,83.0,0.06666666666666288,-67.0,7.0,110.0,45.0
2025-03-31,110,2.1363636363636362,0.33636363636363636,0.9931818181818182,48.3,0.01818181818181818,0.10909090909090909,0.045454545454545456,56.0,63.0,134.0,230.0,84.0,112.57142857142857,125.21428571428571,116.8,40.47985977766042,0,3,31,0,76.33333333333333,-4.228571428571428,-7.0,-78.0,127.0,145.0
2025-04-01,127,2.031496062992126,0.2204724409448819,0.9940944881889764,45.40944881889764,0.0,0.13385826771653545,0.023622047244094488,110.0,56.0,162.0,124.0,39.0,107.57142857142857,125.42857142857143,119.73333333333333,35.17033381917754,1,4,1,0,97.66666666666667,-12.161904761904765,54.0,-52.0,152.0,131.0
2025-04-02,152,1.855263157894737,0.09210526315789473,0.993421052631579,52.046052631578945,0.006578947368421052,0.1118421052631579,0.006578947368421052,127.0,110.0,150.0,268.0,43.0,107.85714285714286,117.14285714285714,123.36666666666666,35.578216984687785,2,4,2,0,129.66666666666666,-15.509523809523799,17.0,-23.0,178.0,125.0
2025-04-03,178,1.8707865168539326,0.19662921348314608,0.9817415730337079,46.78651685393258,0.016853932584269662,0.12921348314606743,0.06179775280898876,152.0,127.0,117.0,143.0,42.0,116.57142857142857,119.64285714285714,127.9,44.53409608699514,3,4,3,0,152.33333333333334,-11.328571428571436,25.0,35.0,180.0,120.0
2025-04-04,180,1.9111111111111112,0.12222222222222222,1.0,44.09444444444444,0.005555555555555556,0.1111111111111111,0.03333333333333333,178.0,152.0,130.0,157.0,99.0,123.71428571428571,121.28571428571429,130.6,50.638306599234696,4,4,4,0,170.0,-6.885714285714286,26.0,48.0,105.0,89.0
2025-04-05,105,1.8857142857142857,0.0761904761904762,1.0,52.01904761904762,0.009523809523809525,0.10476190476190476,0.01904761904761905,180.0,178.0,63.0,83.0,138.0,129.71428571428572,122.85714285714286,129.5,44.3422833787131,5,4,5,1,154.33333333333334,0.2142857142857224,2.0,117.0,45.0,47.0
2025-04-06,45,1.8,0.2222222222222222,1.0,50.82222222222222,0.044444444444444446,0.2,0.08888888888888889,105.0,180.0,56.0,56.0,120.0,128.14285714285714,122.07142857142857,127.0,47.47430382648623,6,4,6,1,110.0,1.1428571428571388,-75.0,49.0,145.0,56.0
2025-04-07,145,1.9172413793103449,0.19310344827586207,0.9793103448275862,45.47586206896552,0.0,0.11724137931034483,0.027586206896551724,45.0,105.0,110.0,134.0,130.0,133.14285714285714,122.85714285714286,127.5,47.086546455891806,0,4,7,0,98.33333333333333,5.642857142857139,-60.0,-65.0,131.0,110.0
2025-04-08,131,1.8473282442748091,0.06870229007633588,0.9885496183206107,46.85496183206107,0.007633587786259542,0.10687022900763359,0.015267175572519083,145.0,45.0,127.0,162.0,42.0,133.71428571428572,120.64285714285714,130.46666666666667,47.02380349608159,1,4,8,0,107.0,3.247619047619054,100.0,18.0,125.0,112.0
2025-04-09,125,1.84,0.144,1.0,49.816,0.008,0.184,0.024,131.0,145.0,152.0,150.0,110.0,129.85714285714286,118.85714285714286,130.96666666666667,46.37682097567194,2,4,9,0,133.66666666666666,-1.1095238095238074,-14.0,-21.0,120.0,103.0
2025-04-10,120,1.825,0.11666666666666667,1.0,50.016666666666666,0.025,0.18333333333333332,0.008333333333333333,125.0,131.0,178.0,117.0,172.0,121.57142857142857,119.07142857142857,129.23333333333332,41.23856262794631,3,4,10,0,125.33333333333333,-7.661904761904751,-6.0,-53.0,89.0,140.0
2025-04-11,89,1.7752808988764044,0.10112359550561797,1.0,45.78651685393258,0.0,0.16853932584269662,0.02247191011235955,120.0,125.0,180.0,130.0,158.0,108.57142857142857,116.14285714285714,126.93333333333334,33.335952278069364,4,4,11,0,111.33333333333333,-18.361904761904768,-5.0,-60.0,47.0,67.0
2025-04-12,47,1.9148936170212767,0.19148936170212766,1.0,55.93617021276596,0.0,0.19148936170212766,0.0851063829787234,89.0,120.0,105.0,63.0,157.0,100.28571428571429,115.0,123.26666666666667,40.75419931620258,5,4,12,1,85.33333333333333,-22.980952380952374,-31.0,-16.0,56.0,54.0
2025-04-13,56,1.8214285714285714,0.21428571428571427,0.9464285714285714,50.625,0.0,0.30357142857142855,0.017857142857142856,47.0,89.0,45.0,56.0,155.0,101.85714285714286,115.0,119.96666666666667,38.41192771101439,6,4,13,1,64.0,-18.109523809523807,-42.0,2.0,110.0,31.0
2025-04-14,110,2.0,0.17272727272727273,1.0,45.80909090909091,0.00909090909090909,0.12727272727272726,0.00909090909090909,56.0,47.0,145.0,110.0,48.0,96.85714285714286,115.0,122.03333333333333,33.86949744449808,0,4,14,0,71.0,-25.17619047619047,9.0,-89.0,112.0,49.0
2025-04-15,112,2.0535714285714284,0.2857142857142857,0.9910714285714286,50.5,0.017857142857142856,0.14285714285714285,0.08035714285714286,110.0,56.0,131.0,127.0,68.0,94.14285714285714,113.92857142857143,123.5,31.344476235474023,1,4,15,0,92.66666666666667,-29.35714285714286,54.0,-21.0,103.0,78.0
2025-04-16,103,1.9223300970873787,0.13592233009708737,0.9927184466019418,51.22330097087379,0.019417475728155338,0.1262135922330097,0.009708737864077669,112.0,110.0,125.0,152.0,230.0,91.0,110.42857142857143,119.26666666666667,28.72861523522042,2,4,16,0,108.33333333333333,-28.266666666666666,2.0,-13.0,140.0,123.0
2025-04-17,140,1.8642857142857143,0.1,0.9946428571428572,49.73571428571429,0.014285714285714285,0.1357142857142857,0.007142857142857143,103.0,112.0,120.0,178.0,124.0,93.85714285714286,107.71428571428571,119.8,32.79953542063559,3,4,17,0,118.33333333333333,-25.942857142857136,-9.0,-17.0,67.0,130.0
2025-04-18,67,2.029850746268657,0.208955223880597,1.0,53.149253731343286,0.0,0.08955223880597014,0.014925373134328358,140.0,103.0,89.0,180.0,268.0,90.71428571428571,99.64285714285714,113.1,34.359444532347055,4,4,18,0,103.33333333333333,-22.385714285714286,37.0,51.0,54.0,118.0
2025-04-19,54,1.9074074074074074,0.12962962962962962,1.0,46.96296296296296,0.0,0.14814814814814814,0.0,67.0,140.0,47.0,105.0,143.0,91.71428571428571,96.0,110.13333333333334,32.94801099567975,5,4,19,1,87.0,-18.41904761904763,-73.0,20.0,31.0,61.0
2025-04-20,31,1.8709677419354838,0.22580645161290322,1.0,49.25806451612903,0.0,0.16129032258064516,0.06451612903225806,54.0,67.0,56.0,45.0,157.0,88.14285714285714,95.0,105.93333333333334,38.3728574708243,6,4,20,1,50.666666666666664,-17.7904761904762,-13.0,-2.0,49.0,45.0
2025-04-21,49,2.0,0.30612244897959184,0.9183673469387755,58.59183673469388,0.12244897959183673,0.22448979591836735,0.02040816326530612,31.0,54.0,110.0,145.0,83.0,79.42857142857143,88.14285714285714,104.8,39.492012453394345,0,4,21,0,44.666666666666664,-25.371428571428567,-23.0,-79.0,78.0,115.0
2025-04-22,78,1.9102564102564104,0.14102564102564102,0.9967948717948718,50.35897435897436,0.0,0.1794871794871795,0.02564102564102564,49.0,31.0,112.0,131.0,56.0,74.57142857142857,84.35714285714286,105.53333333333333,36.818732292395055,1,4,22,0,52.666666666666664,-30.961904761904762,18.0,-63.0,123.0,171.0
2025-04-23,123,1.983739837398374,0.23577235772357724,0.9939024390243902,43.53658536585366,0.016260162601626018,0.13008130081300814,0.04065040650406504,78.0,49.0,103.0,125.0,134.0,77.42857142857143,84.21428571428571,105.16666666666667,40.02856123177201,2,4,23,0,83.33333333333333,-27.73809523809524,29.0,-25.0,130.0,195.0
2025-04-24,130,1.8,0.11538461538461539,1.0,48.66153846153846,0.015384615384615385,0.16923076923076924,0.023076923076923078,123.0,78.0,140.0,120.0,162.0,76.0,84.92857142857143,104.1,37.52332607858752,3,4,24,0,110.33333333333333,-28.099999999999994,45.0,-17.0,118.0,93.0
2025-04-25,118,1.9322033898305084,0.17796610169491525,0.9978813559322034,46.644067796610166,0.00847457627118644,0.07627118644067797,0.03389830508474576,130.0,123.0,67.0,89.0,150.0,83.28571428571429,87.0,103.03333333333333,40.33077520419654,4,4,25,0,123.66666666666667,-19.74761904761904,7.0,63.0,61.0,95.0
2025-04-26,61,2.0327868852459017,0.26229508196721313,0.9508196721311475,44.80327868852459,0.0,0.09836065573770492,0.03278688524590164,118.0,130.0,54.0,47.0,117.0,84.28571428571429,88.0,101.16666666666667,39.56309006180005,5,4,26,1,103.0,-16.88095238095238,-12.0,64.0,45.0,66.0
